Program,Enrollment Year,Gender,DOB,District,Country,Education Background,GPA,Professional Engagement,Mothers Profession,Fathers Profession,Status,Withdrawn or Graduate Date (mm.dd.yy),Reason for Withdrawal,Year,Actual Concentration
MBA,2019,Male,07/02/1996,Chitwan,Nepal,Bachelor's Degree in Commerce,0.71,Unemployed,Housewife,Transport business,Graduate,"August 21, 2021",,2021,Marketing Management
MBA,2019,Male,11/20/1996,Kavreplanchok,Nepal,Bachelor's Degree in Civil Engineering,0.674,Unemployed,,,Withdrawn ,"March 2, 2020",Administrative withdrawal,2020,Pending 
MBA,2019,Male,31/05/1996,Doti,Nepal,Bachelor of Computing in Computer Science,,Entrepreneur,House Wife,Goverenment Employee,Graduate,"October 24, 2021",,2021,Entrepreneurship 
MBA,2019,Male,06/0611995,Kathmandu,Nepal,Bachelor of Computing in Computer Science,,Entrepreneur,House Wife,Business,Graduate,"October 24, 2021",,2021,Entrepreneurship 
MBA,2019,Male,02/08/1993,Kathmandu,Nepal,Bachelor's Degree in Business Management,0.512,Employed,MD at the Company,Executive Director at the company,Withdrawn ,"March 26, 2020",Administrative withdrawal,2020,Pending 
MBA,2019,Male,01/11/1991,Kathmandu,Nepal,Bachelor's Degree in Hotel Management,0.6,Unemployed,housewife,business,Graduate,"August 21, 2021",,2021,Entrepreneurship 
MBA,2019,Male,11/22/1994,Bara,Nepal,Bachelor of Business Administration,3.31,Unemployed,Housewife,Hotel Business,,,,1899,
FALSE,,,,,,,,,,,Withdrawn ,"October 16, 2019",Work Commitment,2019,Pending 
MBA,2019,Male,10/11/1995,Dailekh,Nepal,Bachelor's Degree in Business Studies,52.65,Unemployed,Beautician,N/A,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Female,08/04/1995,Kathmandu,Nepal,Bachelor of Business Administration,3.64,Unemployed,Housewife,Business,Graduate,"August 19, 2021",,2021,Technology and Innovation
MBA,2019,Female,09/08/1995,Sarlahi,Nepal,Bachelor of Business Administration,3.76,Employed,Regional Sales Manager,Homemaker Services,Graduate,"August 19, 2021",,2021,Human Resources Management 
MBA,2019,Female,25/01/1994,Lalitpur,Nepal,Bachelor of Business Administration,3.61,Employed,Housewife,Sole Proprietor,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Male,01/06/1992,Kathmandu,Nepal,Bachelor's Degree in Science and Technology,69.38,Employed,Business,Business,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Male,04/30/1993,Kathmandu,Nepal,Bachelor's Degree in Mechanical Engineering,,Unemployed,Housewife,Chef de Parte at Hotel De'l Annapurna,Graduate,"August 19, 2021",,2021,Financial Management 
MBA,2019,Female,01/20/1995,Kathmandu,Nepal,Bachelor's Degree in Computer Engineering,69.33,Unemployed,Housewife,Governmental officer,Graduate,"August 19, 2021",,2021,Human Resources Management 
MBA,2019,Female,06/04/1996,Palpa,Nepal,Bachelor of Business Administration,3.65,Unemployed,House-wife,Government Officer,Graduate,"August 19, 2021",,2021,Marketing Management
MBA,2019,Male,12/21/1991,Makwanpur,Nepal,Bachelor of science,,Employed,Homemaker,Deceased,Withdrawn ,"September 5, 2019",No specific Reason,2019,Pending 
MBA,2019,Female,08/22/1995,Rauthat,Nepal,Bachelor of Science in Agriculture,83.67,Employed,Teacher,Teacher,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Female,01/18/1996,Kathmandu,Nepal,Bachelor of Business Administration in Banking and Insurance,2.61,Unemployed,House wife,Cook,Readmission- Graduate,"August 19, 2021",,2021,Nonprofit Management
MBA,2019,Female,05/10/1996,Kailali,Nepal,Bachelor's Degree in Business Studies,44.05,Employed,,,Graduate,"August 19, 2021",,2021,Technology and Innovation
MBA,2019,Male,01/31/1990,Gulmi,Nepal,Bachelor's Degree in Electronics and Communication Engineering,65.65,Unemployed,House wife,Retired,Graduate,"August 19, 2021",,2021,Human Resources Management 
MBA,2019,Male,01/27/1995,Kathmandu,Nepal,Bachelor of Business Administration,2.92,Unemployed,,,Withdrawn ,"September 1, 2019",Work Commitment,2019,Pending 
MBA,2019,Male,01/02/1996,Kathmandu,Nepal,Bachelor of Business Administration,3.64,Employed,,,Graduate,"December 16, 2021",,2021,Entrepreneurship 
MBA,2019,Male,07/21/1991,Kathmandu,Nepal,Bachelor of Business Administration,2.41,Employed,Housewife,Businessman,Graduate,"August 19, 2021",,2021,Technology and Innovation
MBA,2019,Male,12/06/1994,Kathmandu,Nepal,Bachelor of Business Administration,2.98,Employed,Service,Job Retired,Graduate,"August 19, 2021",,2021,Marketing Management
MBA,2019,Male,11/24/1996,Kanchanpur,Nepal,Bachelor of Business Administration,2.79,Unemployed,House wife,Judge,Graduate,"August 19, 2021",,2021,Technology and Innovation
MBA,2019,Male,09/18/1991,Parsa,Nepal,Bachelor's Degree in Mechanical Engineering,8.07,Employed,House Manager,Journalist,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Male,12/08/1995,Jhapa,Nepal,Bachelor of Business Information Systems,2.81,Entrepreneur,HOUSEWIFE,BUSINESSMAN,Graduate,"August 19, 2021",,2021,Technology and Innovation
MBA,2019,Female,06/12/1996,Jhapa,Nepal,Bachelor's Degree in Science and Technology,,Employed,Business,Business,Graduate,"August 19, 2021",,2021,Financial Management 
MBA,2019,Female,08/04/1996,Kathmandu,Nepal,Bachelor of Business Administration in Banking and Insurance,3.9,Employed,Home maker,Engineer,Graduate,"August 19, 2021",,2021,Financial Management 
MBA,2019,Male,05/28/1988,Myagdi,Nepal,Bachelor's Degree in Business Studies,40.86,Employed,Home-wife,Engineer,Graduate,"August 19, 2021",,2021,Financial Management 
MBA,2019,Female,11/17/1995,Kathmandu,Nepal,Bachelor's Degree in Business Studies,47.45,Unemployed,Teacher,Teacher,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Male,04/01/1995,Kathmandu,Nepal,Bachelor of Business(Accounting),,Unemployed,Teacher,Businessman,Graduate,"August 19, 2021",,2021,Technology and Innovation
MBA,2019,Male,11/21/1994,Sarlahi,Nepal,Bachelor's Degree in Electronics and Communication Engineering,71.24,Employed,Lecturer,Lecturer,Withdrawn ,"September 1, 2019",Work Commitment,2019,Pending 
MBA,2019,Female,02/21/1995,Ramechhap,Nepal,Bachelor of Business Administration,2.65,Employed,,,Graduate,"October 24, 2021",,2021,Human Resources Management 
MBA,2019,Female,10/06/1997,Kathmandu,Nepal,Bachelor of Business Administration,,Unemployed,Housewife,Businessman,Graduate,"August 19, 2021",,2021,Financial Management 
MBA,2019,Male,03/09/1996,Jhapa,Nepal,Bachelor of Business Administration,2.85,Employed,Teacher,Govt Employee,Graduate,"August 19, 2021",,2021,Marketing Management
MBA,2019,Female,12/18/1995,Parwat,Nepal,Bachelor's Degree in Computer Engineering,68.41,Employed,,,Graduate,"August 19, 2021",,2021,Financial Management 
MBA,2019,Female,05/26/1995,Makwanpur,Nepal,Bachelor of Business Administration,2.82,Employed,,,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Male,30/03/1993,Parwat,Nepal,FHS Diploma in Hotel Management ,2.6,Employed,,,Graduate,"August 19, 2021",,2021,Nonprofit Management
MBA,2019,Female,10/08/1993,Lalitpur,Nepal,Bachelor of Business Administration,3.12,Employed,Civil-service employee,Administrator,Graduate,"August 19, 2021",,2021,Agribusiness Management
MBA,2019,Female,09/13/1995,Kathmandu,Nepal,Bachelor of Business Administration,2.58,Employed,Business,Business,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Female,03/15/1994,Sunsari,Nepal,Bachelor of Business Administration,3.07,Employed,Banker,Entrepreneur,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Female,01/27/1995,Kathmandu,Nepal,Bachelor's Degree in Tourism & Hospitality,5.6,Unemployed,Housewife,Real State Investor,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Male,02/03/1995,Lalitpur,Nepal,Bachelor of Business Administration in Banking and Insurance,2.51,Unemployed,housewife,businessman,Graduate,"August 19, 2021",,2021,Financial Management 
MBA,2019,Male,05/24/1991,Kathmandu,Nepal,Bachelor of Business Administration,2.63,Employed,Home Maker,Retired,Graduate,"August 19, 2021",,2021,Entrepreneurship 
MBA,2019,Male,08/24/1996,Lalitpur,Nepal,Bachelor of Arts,,Employed,,,Graduate,"October 24, 2021",,2021,Human Resources Management 
MBA,2019,Male,08/29/1991,Nuwakot,Nepal,Bachelor's Degree in Business Studies,68.43,Employed,Housewife,Businessman,Graduate,"April 24, 2022",,2022,Entrepreneurship 
MBA,2019,Male,08/31/1990,Kathmandu,Nepal,Bachelor of Business Administration,2720,Entrepreneur,House Wife,Business Man,Graduate,"October 24, 2021",,2021,Entrepreneurship 
MBA,2019,Female,06/24/1993,Kathmandu,Nepal,Bachelor of Business Administration,2.55,Entrepreneur,housewife,businessman,Graduate,"October 24, 2021",,2021,Entrepreneurship 
MBA,2019,Female,01/03/1998,,India,Bachelor of Business Administration,8.2,Unemployed,Housewife,Businessman,Withdrawn ,"May 29, 2020",Work Commitment,2020,Pending 
MBA,2019,Male,03/071994,Bhojpur,Nepal,Bachelor of Business Administration,2.98,Unemployed,Housewife,Business Person,Graduate,"October 24, 2021",,2021,Human Resources Management 
MBA,2019,Female,01/28/1996,Kathmandu,Nepal,Bachelor of Business Administration,3.53,Employed,Stock Market Investor,Stock Market Investor,Graduate,"October 24, 2021",,2021,Human Resources Management 
MBA,2019,Female,10/02/1994,Sunsari,Nepal,Bachelor of Business Administration,3.27,Employed,Self Business,Food Technologist,Graduate,"October 24, 2021",,2021,Nonprofit Management
MBA,2019,Female,01/27/1995,Kathmandu,Nepal,Bachelor's Degree in Business Studies,52.64,Employed,Homemaker,Retired,Graduate,"October 24, 2021",,2021,Entrepreneurship 
MBA,2019,Male,06/08/1995,Kathmandu,Nepal,Bachelor's Degree in Business Studies,62.75,Entrepreneur,Housewife,Businessman,Graduate,"October 24, 2021",,2021,Financial Management 
MBA,2019,Female,06/05/1996,Morang,Nepal,Bachelor's Degree in Business Studies,48.3,Unemployed,House wife,Retired,Graduate,"October 24, 2021",,2021,Entrepreneurship 
MBA,2019,Male,01/31/1996,Rupandehi,Nepal,Bachelor of Business Administration,2.62,Employed,Husewife,Business (Electrical),Graduate,"October 24, 2021",,2021,Entrepreneurship 
MBA,2019,Male,07/12/1994,Kavreplanchok,Nepal,Bachelor of Business Administration,3.76,Unemployed,Housewife,Business,Graduate,"October 24, 2021",,2021,Entrepreneurship 
MBA,2019,Female,15-Sep-96,Kathmandu,,,76.1,Employed,Business,Business,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Male,23-Oct-94,Kavreplanchok,,,2.8,Employed,Social Worker,Nepal Army - Brigadier General,Graduate,"March 1, 2021",,2021,Entrepreneurship 
MBA,2019,Male,08-Oct-93,Bhaktapur,,,70.9,Employed,None,Business,Withdrawn ,"December 30, 2019",Administrative withdrawal,2019,Pending 
MBA,2019,Male,31-Aug-97,Kathmandu,,,,Employed,,,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Male,13-Dec-92,Kathmandu,,,61,Employed,Entrepreneur,Engineer,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,19-Dec-94,Kavreplanchok,,,59,Employed,Housewife,Government Officer,Graduate,"January 4, 2021",,2021,Financial Management 
MBA,2019,Male,05-Aug-92,Kathmandu,,,3.5,Entrepreneur,Home maker,Government Official,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Male,16-Jan-94,Dhanusa,,,,Employed,,,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Female,19-Jul-94,Jhapa,,,77,Employed,,,Withdrawn ,"December 30, 2019",Administrative withdrawal,2019,Pending 
MBA,2019,Male,28-Sep-97,Kanchanpur,,,55,Unemployed,House wife,Bussiness man,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,08-Mar-95,Kathmandu,,,80.4,Employed,none,senior advocate,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,26-Mar-95,Kathmandu,,,57,Employed,Housewife,Commisner of CIAA,Withdrawn ,"March 12, 2019",Abroad Study,2019,Pending 
MBA,2019,Male,02-Feb-96,Kathmandu,,,,Employed,,,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,28-Jun-88,Dolpa,,,61,Unemployed,House Wife,Retired Business man,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Female,04-Nov-96,Kathmandu,,,70.1,Employed,Not Employed  ,Banker,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Female,29-Jan-90,Kathmandu,,,56,Employed,Taking care of home and family,Customer service provider,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,14-Jun-95,Kathmandu,,,61.1,Employed,,,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Female,29-Dec-95,Kathmandu,,,60,Employed,,,Graduate,"January 4, 2021",,2021,Technology and Innovation
MBA,2019,Female,23-Jul-94,Lalitpur,,,74.8,Employed,Homemaker,Banker,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,30-Dec-96,Sunsari,,,67.5,Employed,Housewife,Business,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,17-Jul-92,Kathmandu,,,2.5,Employed,Share Broker,Business Man,Graduate,"January 4, 2021",,2021,Technology and Innovation
MBA,2019,Male,27-Mar-91,Nuwakot,,,3.02,Employed,House Wife,Peon at KMC Hospital,Withdrawn ,"November 12, 2021",Administrative withdrawal,2021,Entrepreneurship 
MBA,2019,Male,13-Apr-96,Dhanusa,,,2.5,Employed,Housewife,Regional Manager,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Female,06-Jul-92,Kathmandu,,,,Employed,Home maker,Lecturer,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Female,31-Jul-96,Kathmandu,,,74.1,Employed,Housemaker,Senior agency manager,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,20-Dec-90,Kathmandu,,,57.8,Employed,Housewife,Engineer,Graduate,"January 4, 2021",,2021,Agribusiness Management
MBA,2019,Male,22-Feb-95,Siraha,,,,Employed,Housewife,Teacher,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,19-May-94,Kaski,,,3.5,Entrepreneur,Government Officer,Retired,Graduate,"January 4, 2021",,2021,Financial Management 
MBA,2019,Female,04-Jan-97,Jhapa,,,74.9,Unemployed,Teacher,Businessman,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Female,27-Jun-86,Syangja,,,,Employed,Housewife,Businessman,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,28-Jul-95,Rupandehi,,,,Employed,,,Graduate,"January 4, 2021",,2021,Technology and Innovation
MBA,2019,Female,19-Aug-95,Sindhupalchauk,,,,Employed,Housewife,N/A,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,15-May-91,Kavreplanchok,,,5.1,Unemployed,HOUSE WIFE,I DONOT HAVE FATHER.,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,11-May-95,Kathmandu,,,74.7,Employed,,,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Female,15-Apr-95,Kathmandu,,,59.1,Unemployed,Housewife,Business,Graduate,"January 4, 2021",,2021,Technology and Innovation
MBA,2019,Female,25-Dec-95,Kathmandu,,,-2.5,Unemployed,Housewife,British army,Graduate,"March 24, 2021",,2021,Technology and Innovation
MBA,2019,Female,02-Jul-93,Lamjung,,,65.7,Employed,Housewife,Consultant,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,04-Jun-94,Kathmandu,,,72.7,Entrepreneur,House wife,Business,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,21-Jan-94,Arghakhanchi,,,,Unemployed,Retired government officer (NEA),Retired government officer (NEA),Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Male,05-Jul-92,Kathmandu,,,55,Unemployed,Retired Insurance employee,Retired Insurance employee,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Male,17-Jun-95,Kathmandu,,,85.4,Employed,Principal- Happy Feet Montessori,"Retired- Joint Secretary, Govt. of Nepal",Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,02-Aug-94,Kathmandu,,,72.8,Employed,house wife,business,Graduate,"January 4, 2021",,2021,Financial Management 
MBA,2019,Male,31-May-95,Jhapa,,,73.1,Unemployed,Housewife,Ex-policeman,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,13-Feb-93,Kathmandu,,,,Employed,Homemaker,Business,Graduate,"January 4, 2021",,2021,Technology and Innovation
MBA,2019,Male,28-Feb-93,Kathmandu,,,57,Employed,Housewife,Banker,Graduate,"October 24, 2021",,2021,Human Resources Management 
MBA,2019,Female,11/06/1994,Kathmandu,Nepal,,78,Employed,Jewelry business,Jewelry business,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Female,17-Nov-95,Kathmandu,,,73.4,Employed,Home maker,"Assistant Professor, Retired Officer",Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,10-Feb-94,Kathmandu,,,,Unemployed,HOUSEWIFE,Businessman,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Male,28-Nov-95,Chitwan,,,,Employed,Teacher,Business,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,08-Jul-95,Syangja,,,71.9,Employed,,,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Male,11-May-88,Kathmandu,,,49.2,Entrepreneur,Housewife,Businessman,Graduate,"January 4, 2021",,2021,Financial Management 
MBA,2019,Male,05-Aug-96,Kathmandu,,,73,Unemployed,House Wife,Retired Civil Employee,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Female,08-Jul-93,Morang,,,63.56,Unemployed,House maker,Accountant,Graduate,"January 4, 2021",,2021,Financial Management 
MBA,2019,Male,19-Jan-97,Dhading,,,,Employed,Housewife,Retired,Graduate,"January 4, 2021",,2021,Human Resources Management 
MBA,2019,Female,15-Dec-93,Chitwan,,,62.1,Employed,Housewife,Business,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Male,12-May-95,Kathmandu,,,65.7,Unemployed,House wife,business,Graduate,"January 4, 2021",,2021,Entrepreneurship 
MBA,2019,Female,09-Sep-96,Kathmandu,,,27,Employed,,,Graduate,"January 4, 2021",,2021,Financial Management 
MBA,2019,Male,17-May-92,Lalitpur,,,3.5,Employed,N/A,Business,Graduate,"January 4, 2021",,2021,Marketing Management
MBA,2019,Male,26-Jan-93,Kathmandu,,,81,Entrepreneur,House wife,Business man,,,,1899,
FALSE,,,,,,,,,,,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2019,Female,02-Sep-94,Dhanusa,,Business Administration,78.9,Employed,,,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2019,Female,18-Jan-96,Lalitpur,,Bachelors of Business Administration,69.4,Employed,Business,Business,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2019,Male,12-Feb-97,Rupandehi,,B.Tech (Automobile),70.2,Employed,House wife,Businessman,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2019,Male,23-Jun-95,Lalitpur,,Business studies,77,Employed,,,Graduate,"October 26, 2020",,2020,Agribusiness Management
MBA,2019,Female,4-May-93,Lalitpur,,Agriculture,68.6,Employed,,,Graduate,"October 26, 2020",,2020,Human Resources Management 
MBA,2019,Female,02-Jul-96,Jhapa,,,74,Unemployed,Housewife,Businessman,Graduate,"October 26, 2020",,2020,Agribusiness Management
MBA,2019,Male,14-May-96,Kathmandu,,"B-tech, Biotechnology",62,Unemployed,Shopkeeper,Business,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2019,Male,13-Mar-94,Kathmandu,,Civil Engineer,68.5,Employed,Teacher,Government officer,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2019,Female,04-Jul-96,Kathmandu,,Marketing,68.6,Employed,House wife,Business,Readmission- Graduate,"Feb 28, 2022",,2022,Entrepreneurship 
MBA,2019,Female,"Nov 23, 1996",Kathmandu,,,,Employed,Housewife,Senior Mechanics (coin maker),Withdrawn ,"September 26, 2019",Administrative withdrawal,2019,Pending 
MBA,2019,Female,10-Aug-92,Kathmandu,,Business Administration,48.2,Employed,,,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2019,Female,08-Aug-93,Lalitpur,,,70.89,Employed,,,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2019,Male,20-Sep-95,Chitwan,,Mechanical Engineering,70.4,Employed,,,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2019,Female,09-Feb-92,Kathmandu,,BUSINESS ADMINISTRATION,2.8,Employed,,,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2019,Female,09-Mar-96,Kathmandu,,Bachelors in Hotel Management,,Employed,Housewife,Self employed,Graduate,"October 26, 2020",,2020,Nonprofit Management
MBA,2019,Male,21-Jan-95,Kathmandu,,Social Work,59.6,Employed,Beautician,Business Man/ Entrepreneur,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2019,Male,10-Apr-95,Kathmandu,,Business management,58.2,Employed,,,Withdrawn ,"April 22, 2020",Administrative withdrawal,2020,Marketing Management
MBA,2019,Male,15-Jun-95,Nawalpur,,Management,76,Unemployed,House wife,Business owner,Graduate,"October 26, 2020",,2020,Human Resources Management 
MBA,2019,Female,07-Aug-94,Kathmandu,,Business Management,56.6,Employed,,,Graduate,"October 26, 2020",,2020,Financial Management 
MBA,2019,Male,25-Aug-96,Jhapa,,Civil Engineering,84,Employed,Banker,Civil service,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2019,Female,10-Feb-96,Kathmandu,,Business Administration,54,Employed,Home maker,Business Man,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2018,Male,01-Nov-95,Bhaktapur,,Automobile Engineering,5.3,Employed,Housewife,Banking Trainer,Graduate,"March 1, 2021",,2021,Financial Management 
MBA,2018,Male,26-Apr-96,Sunsari,,Business Administration,69,Unemployed,N/A,Self Employed  / Teacher,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2018,Female,25-Nov-89,Lalitpur,,Arts,60.8,Entrepreneur,Housewife,Deceased,Graduate,"October 26, 2020",,2020,Nonprofit Management
MBA,2018,Female,01-Apr-96,Kathmandu,,Humanities,56.5,Employed,Housewife,Businessman,Graduate,"October 26, 2020",,2020,Nonprofit Management
MBA,2018,Male,24-Mar-96,Dolkha,,Humanities and Social Science,64.5,Employed,,,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2018,Male,22-Jan-91,Kathmandu,,,52,Unemployed,Teacher (Retired),Banker,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2018,Female,10-Jun-90,Banke,,Information Technology,54.68,Employed,,,Withdrawn ,"Mar 26, 2020",Administrative withdrawal,2020,Agribusiness Management
MBA,2018,Male,25-Feb-95,Jhapa,,Food & Dairy Technology,66,Employed,,,Graduate,"October 26, 2020",,2020,Agribusiness Management
MBA,2018,Male,24-Feb-94,Syangja,,AGRICULTURE,75.8,Employed,,,Graduate,"October 26, 2020",,2020,Marketing Management
MBA,2018,Male,23-Jun-92,Kathmandu,,Information Technology,50.6,Employed,Retired,Retired,Graduate,"October 26, 2020",,2020,Nonprofit Management
MBA,2018,Male,22-Sep-92,Morang,,Social Work,,Unemployed,Factory worker,Construction,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2018,Female,27-Aug-92,Nawalpur,,BBA Management,63,Unemployed,Business holder,Business holder,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2018,Male,13-Nov-94,Lalitpur,,Business Studies,57,Employed,House wife,Business,Graduate,"October 26, 2020",,2020,Agribusiness Management
MBA,2018,Male,22-Dec-92,Nuwakot,,Hotel Management,58.1,Entrepreneur,Hospitality,Agriculture,Graduate,"March 1, 2021",,2021,Entrepreneurship 
MBA,2018,Male,27-Jan-95,Kathmandu,,BACHELORS IN BUSINESS ADMINISTRATION,64,Employed,Housewife,Section officer,Graduate,"October 26, 2020",,2020,Nonprofit Management
MBA,2018,Female,26-Feb-93,Lalitpur,,Humanities and Social Science,53.6,Entrepreneur,Same as mine,n/a,Withdrawn ,"March 14, 2019",Abroad Study,2019,Pending 
MBA,2018,Male,05-Feb-96,Lalitpur,,Biotechnology,6.3,Employed,,,Graduate,"October 26, 2020",,2020,Agribusiness Management
MBA,2018,Male,29-Mar-93,Darchula,,Biotechnology,71.7,Unemployed,Housewife,Civil Engineer,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2018,Female,11-May-96,,India ,Bachelor in Business Administration,50,Employed,Housewife,Businessman,Withdrawn ,"December 30, 2019",Administrative withdrawal,2019,Human Resources Management 
MBA,2018,Male,7-May-94,Lalitpur,,Business Management,52.8,Entrepreneur,Businessman,Businessman,Graduate,"October 26, 2020",,2020,Entrepreneurship 
MBA,2018,Male,14-Oct-92,Kathmandu,,,3,Employed,Business women,Business man,Graduate,"October 26, 2020",,2020,Financial Management 
MBA,2018,Male,15-Oct-95,Kathmandu,,Business management,69,Unemployed,Teacher,Retired,Graduate,"October 26, 2020",,2020,Entrepreneurship 
